"Miles_per_Gallon","Cylinders","Origin","Weight_in_lbs","Displacement","Acceleration","Name","Year","Horsepower"
28.0,4,"USA",2164,98.0,15.0,"dodge colt (sw)","1972-01-01",80
27.0,4,"Japan",2100,97.0,16.5,"toyota corolla 1600 (sw)","1972-01-01",88
13.0,8,"USA",4100,350.0,13.0,"buick century 350","1973-01-01",175
14.0,8,"USA",3672,304.0,11.5,"amc matador","1973-01-01",150
13.0,8,"USA",3988,350.0,13.0,"chevrolet malibu","1973-01-01",145
14.0,8,"USA",4042,302.0,14.5,"ford gran torino","1973-01-01",137
15.0,8,"USA",3777,318.0,12.5,"dodge coronet custom","1973-01-01",150
12.0,8,"USA",4952,429.0,11.5,"mercury marquis brougham","1973-01-01",198
13.0,8,"USA",4464,400.0,12.0,"chevrolet caprice classic","1973-01-01",150
13.0,8,"USA",4363,351.0,13.0,"ford ltd","1973-01-01",158
14.0,8,"USA",4237,318.0,14.5,"plymouth fury gran sedan","1973-01-01",150
13.0,8,"USA",4735,440.0,11.0,"chrysler new yorker brougham","1973-01-01",215
12.0,8,"USA",4951,455.0,11.0,"buick electra 225 custom","1973-01-01",225
13.0,8,"USA",3821,360.0,11.0,"amc ambassador brougham","1973-01-01",175
18.0,6,"USA",3121,225.0,16.5,"plymouth valiant","1973-01-01",105
16.0,6,"USA",3278,250.0,18.0,"chevrolet nova custom","1973-01-01",100
18.0,6,"USA",2945,232.0,16.0,"amc hornet","1973-01-01",100
18.0,6,"USA",3021,250.0,16.5,"ford maverick","1973-01-01",88
23.0,6,"USA",2904,198.0,16.0,"plymouth duster","1973-01-01",95
26.0,4,"Europe",1950,97.0,21.0,"volkswagen super beetle","1973-01-01",46
11.0,8,"USA",4997,400.0,14.0,"chevrolet impala","1973-01-01",150
12.0,8,"USA",4906,400.0,12.5,"ford country","1973-01-01",167
13.0,8,"USA",4654,360.0,13.0,"plymouth custom suburb","1973-01-01",170
12.0,8,"USA",4499,350.0,12.5,"oldsmobile vista cruiser","1973-01-01",180
18.0,6,"USA",2789,232.0,15.0,"amc gremlin","1973-01-01",100
20.0,4,"Japan",2279,97.0,19.0,"toyota carina","1973-01-01",88
21.0,4,"USA",2401,140.0,19.5,"chevrolet vega","1973-01-01",72
22.0,4,"Japan",2379,108.0,16.5,"datsun 610","1973-01-01",94
18.0,3,"Japan",2124,70.0,13.5,"maxda rx3","1973-01-01",90
19.0,4,"USA",2310,122.0,18.5,"ford pinto","1973-01-01",85
21.0,6,"USA",2472,155.0,14.0,"mercury capri v6","1973-01-01",107
26.0,4,"Europe",2265,98.0,15.5,"fiat 124 sport coupe","1973-01-01",90
15.0,8,"USA",4082,350.0,13.0,"chevrolet monte carlo s","1973-01-01",145
16.0,8,"USA",4278,400.0,9.5,"pontiac grand prix","1973-01-01",230
29.0,4,"Europe",1867,68.0,19.5,"fiat 128","1973-01-01",49
24.0,4,"Europe",2158,116.0,15.5,"opel manta","1973-01-01",75
20.0,4,"Europe",2582,114.0,14.0,"audi 100ls","1973-01-01",91
19.0,4,"Europe",2868,121.0,15.5,"volvo 144ea","1973-01-01",112
15.0,8,"USA",3399,318.0,11.0,"dodge dart custom","1973-01-01",150
24.0,4,"Europe",2660,121.0,14.0,"saab 99le","1973-01-01",110
20.0,6,"Japan",2807,156.0,13.5,"toyota mark ii","1973-01-01",122
11.0,8,"USA",3664,350.0,11.0,"oldsmobile omega","1973-01-01",180
20.0,6,"USA",3102,198.0,16.5,"plymouth duster","1974-01-01",95
21.0,6,"USA",2875,200.0,17.0,"ford maverick","1974-01-01",NA
19.0,6,"USA",2901,232.0,16.0,"amc hornet","1974-01-01",100
15.0,6,"USA",3336,250.0,17.0,"chevrolet nova","1974-01-01",100
31.0,4,"Japan",1950,79.0,19.0,"datsun b210","1974-01-01",67
26.0,4,"USA",2451,122.0,16.5,"ford pinto","1974-01-01",80
32.0,4,"Japan",1836,71.0,21.0,"toyota corolla 1200","1974-01-01",65
25.0,4,"USA",2542,140.0,17.0,"chevrolet vega","1974-01-01",75
16.0,6,"USA",3781,250.0,17.0,"chevrolet chevelle malibu classic","1974-01-01",100
16.0,6,"USA",3632,258.0,18.0,"amc matador","1974-01-01",110
18.0,6,"USA",3613,225.0,16.5,"plymouth satellite sebring","1974-01-01",105
16.0,8,"USA",4141,302.0,14.0,"ford gran torino","1974-01-01",140
13.0,8,"USA",4699,350.0,14.5,"buick century luxus (sw)","1974-01-01",150
14.0,8,"USA",4457,318.0,13.5,"dodge coronet custom (sw)","1974-01-01",150
14.0,8,"USA",4638,302.0,16.0,"ford gran torino (sw)","1974-01-01",140
14.0,8,"USA",4257,304.0,15.5,"amc matador (sw)","1974-01-01",150
29.0,4,"Europe",2219,98.0,16.5,"audi fox","1974-01-01",83
26.0,4,"Europe",1963,79.0,15.5,"volkswagen dasher","1974-01-01",67
26.0,4,"Europe",2300,97.0,14.5,"opel manta","1974-01-01",78
31.0,4,"Japan",1649,76.0,16.5,"toyota corona","1974-01-01",52
32.0,4,"Japan",2003,83.0,19.0,"datsun 710","1974-01-01",61
28.0,4,"USA",2125,90.0,14.5,"dodge colt","1974-01-01",75
24.0,4,"Europe",2108,90.0,15.5,"fiat 128","1974-01-01",75
26.0,4,"Europe",2246,116.0,14.0,"fiat 124 tc","1974-01-01",75
24.0,4,"Japan",2489,120.0,15.0,"honda civic","1974-01-01",97
26.0,4,"Japan",2391,108.0,15.5,"subaru","1974-01-01",93
31.0,4,"Europe",2000,79.0,16.0,"fiat x1.9","1974-01-01",67
19.0,6,"USA",3264,225.0,16.0,"plymouth valiant custom","1975-01-01",95
18.0,6,"USA",3459,250.0,16.0,"chevrolet nova","1975-01-01",105
15.0,6,"USA",3432,250.0,21.0,"mercury monarch","1975-01-01",72
15.0,6,"USA",3158,250.0,19.5,"ford maverick","1975-01-01",72
16.0,8,"USA",4668,400.0,11.5,"pontiac catalina","1975-01-01",170
15.0,8,"USA",4440,350.0,14.0,"chevrolet bel air","1975-01-01",145
16.0,8,"USA",4498,318.0,14.5,"plymouth grand fury","1975-01-01",150
14.0,8,"USA",4657,351.0,13.5,"ford ltd","1975-01-01",148
17.0,6,"USA",3907,231.0,21.0,"buick century","1975-01-01",110
16.0,6,"USA",3897,250.0,18.5,"chevroelt chevelle malibu","1975-01-01",105
15.0,6,"USA",3730,258.0,19.0,"amc matador","1975-01-01",110
18.0,6,"USA",3785,225.0,19.0,"plymouth fury","1975-01-01",95
21.0,6,"USA",3039,231.0,15.0,"buick skyhawk","1975-01-01",110
20.0,8,"USA",3221,262.0,13.5,"chevrolet monza 2+2","1975-01-01",110
13.0,8,"USA",3169,302.0,12.0,"ford mustang ii","1975-01-01",129
29.0,4,"Japan",2171,97.0,16.0,"toyota corolla","1975-01-01",75
23.0,4,"USA",2639,140.0,17.0,"ford pinto","1975-01-01",83
20.0,6,"USA",2914,232.0,16.0,"amc gremlin","1975-01-01",100
23.0,4,"USA",2592,140.0,18.5,"pontiac astro","1975-01-01",78
24.0,4,"Japan",2702,134.0,13.5,"toyota corona","1975-01-01",96
25.0,4,"Europe",2223,90.0,16.5,"volkswagen dasher","1975-01-01",71
24.0,4,"Japan",2545,119.0,17.0,"datsun 710","1975-01-01",97
18.0,6,"USA",2984,171.0,14.5,"ford pinto","1975-01-01",97
29.0,4,"Europe",1937,90.0,14.0,"volkswagen rabbit","1975-01-01",70
19.0,6,"USA",3211,232.0,17.0,"amc pacer","1975-01-01",90
23.0,4,"Europe",2694,115.0,15.0,"audi 100ls","1975-01-01",95
23.0,4,"Europe",2957,120.0,17.0,"peugeot 504","1975-01-01",88
22.0,4,"Europe",2945,121.0,14.5,"volvo 244dl","1975-01-01",98
25.0,4,"Europe",2671,121.0,13.5,"saab 99le","1975-01-01",115
33.0,4,"Japan",1795,91.0,17.5,"honda civic cvcc","1975-01-01",53
28.0,4,"Europe",2464,107.0,15.5,"fiat 131","1976-01-01",86
25.0,4,"Europe",2220,116.0,16.9,"opel 1900","1976-01-01",81
25.0,4,"USA",2572,140.0,14.9,"capri ii","1976-01-01",92
26.0,4,"USA",2255,98.0,17.7,"dodge colt","1976-01-01",79
27.0,4,"Europe",2202,101.0,15.3,"renault 12tl","1976-01-01",83
17.5,8,"USA",4215,305.0,13.0,"chevrolet chevelle malibu classic","1976-01-01",140
16.0,8,"USA",4190,318.0,13.0,"dodge coronet brougham","1976-01-01",150
15.5,8,"USA",3962,304.0,13.9,"amc matador","1976-01-01",120
14.5,8,"USA",4215,351.0,12.8,"ford gran torino","1976-01-01",152
22.0,6,"USA",3233,225.0,15.4,"plymouth valiant","1976-01-01",100
22.0,6,"USA",3353,250.0,14.5,"chevrolet nova","1976-01-01",105
24.0,6,"USA",3012,200.0,17.6,"ford maverick","1976-01-01",81
22.5,6,"USA",3085,232.0,17.6,"amc hornet","1976-01-01",90
29.0,4,"USA",2035,85.0,22.2,"chevrolet chevette","1976-01-01",52
24.5,4,"USA",2164,98.0,22.1,"chevrolet woody","1976-01-01",60
29.0,4,"Europe",1937,90.0,14.2,"vw rabbit","1976-01-01",70
33.0,4,"Japan",1795,91.0,17.4,"honda civic","1976-01-01",53
20.0,6,"USA",3651,225.0,17.7,"dodge aspen se","1976-01-01",100
18.0,6,"USA",3574,250.0,21.0,"ford granada ghia","1976-01-01",78
18.5,6,"USA",3645,250.0,16.2,"pontiac ventura sj","1976-01-01",110
17.5,6,"USA",3193,258.0,17.8,"amc pacer d/l","1976-01-01",95
29.5,4,"Europe",1825,97.0,12.2,"volkswagen rabbit","1976-01-01",71
32.0,4,"Japan",1990,85.0,17.0,"datsun b-210","1976-01-01",70
28.0,4,"Japan",2155,97.0,16.4,"toyota corolla","1976-01-01",75
26.5,4,"USA",2565,140.0,13.6,"ford pinto","1976-01-01",72
20.0,4,"Europe",3150,130.0,15.7,"volvo 245","1976-01-01",102
13.0,8,"USA",3940,318.0,13.2,"plymouth volare premier v8","1976-01-01",150
19.0,4,"Europe",3270,120.0,21.9,"peugeot 504","1976-01-01",88
19.0,6,"Japan",2930,156.0,15.5,"toyota mark ii","1976-01-01",108
16.5,6,"Europe",3820,168.0,16.7,"mercedes-benz 280s","1976-01-01",120
16.5,8,"USA",4380,350.0,12.1,"cadillac seville","1976-01-01",180
13.0,8,"USA",4055,350.0,12.0,"chevy c10","1976-01-01",145
13.0,8,"USA",3870,302.0,15.0,"ford f108","1976-01-01",130
13.0,8,"USA",3755,318.0,14.0,"dodge d100","1976-01-01",150
31.5,4,"Japan",2045,98.0,18.5,"honda Accelerationord cvcc","1977-01-01",68
30.0,4,"USA",2155,111.0,14.8,"buick opel isuzu deluxe","1977-01-01",80
36.0,4,"Europe",1825,79.0,18.6,"renault 5 gtl","1977-01-01",58
25.5,4,"USA",2300,122.0,15.5,"plymouth arrow gs","1977-01-01",96
33.5,4,"Japan",1945,85.0,16.8,"datsun f-10 hatchback","1977-01-01",70
17.5,8,"USA",3880,305.0,12.5,"chevrolet caprice classic","1977-01-01",145
17.0,8,"USA",4060,260.0,19.0,"oldsmobile cutlass supreme","1977-01-01",110
15.5,8,"USA",4140,318.0,13.7,"dodge monaco brougham","1977-01-01",145
15.0,8,"USA",4295,302.0,14.9,"mercury cougar brougham","1977-01-01",130
17.5,6,"USA",3520,250.0,16.4,"chevrolet concours","1977-01-01",110
20.5,6,"USA",3425,231.0,16.9,"buick skylark","1977-01-01",105
19.0,6,"USA",3630,225.0,17.7,"plymouth volare custom","1977-01-01",100
18.5,6,"USA",3525,250.0,19.0,"ford granada","1977-01-01",98
16.0,8,"USA",4220,400.0,11.1,"pontiac grand prix lj","1977-01-01",180
15.5,8,"USA",4165,350.0,11.4,"chevrolet monte carlo landau","1977-01-01",170
15.5,8,"USA",4325,400.0,12.2,"chrysler cordoba","1977-01-01",190
16.0,8,"USA",4335,351.0,14.5,"ford thunderbird","1977-01-01",149
29.0,4,"Europe",1940,97.0,14.5,"volkswagen rabbit custom","1977-01-01",78
24.5,4,"USA",2740,151.0,16.0,"pontiac sunbird coupe","1977-01-01",88
26.0,4,"Japan",2265,97.0,18.2,"toyota corolla liftback","1977-01-01",75
25.5,4,"USA",2755,140.0,15.8,"ford mustang ii 2+2","1977-01-01",89
30.5,4,"USA",2051,98.0,17.0,"chevrolet chevette","1977-01-01",63
33.5,4,"USA",2075,98.0,15.9,"dodge colt m/m","1977-01-01",83
30.0,4,"Japan",1985,97.0,16.4,"subaru dl","1977-01-01",67
30.5,4,"Europe",2190,97.0,14.1,"volkswagen dasher","1977-01-01",78
22.0,6,"Japan",2815,146.0,14.5,"datsun 810","1977-01-01",97
21.5,4,"Europe",2600,121.0,12.8,"bmw 320i","1977-01-01",110
21.5,3,"Japan",2720,80.0,13.5,"mazda rx-4","1977-01-01",110
43.1,4,"Europe",1985,90.0,21.5,"volkswagen rabbit custom diesel","1978-01-01",48
36.1,4,"USA",1800,98.0,14.4,"ford fiesta","1978-01-01",66
32.8,4,"Japan",1985,78.0,19.4,"mazda glc deluxe","1978-01-01",52
39.4,4,"Japan",2070,85.0,18.6,"datsun b210 gx","1978-01-01",70
36.1,4,"Japan",1800,91.0,16.4,"honda civic cvcc","1978-01-01",60
19.9,8,"USA",3365,260.0,15.5,"oldsmobile cutlass salon brougham","1978-01-01",110
19.4,8,"USA",3735,318.0,13.2,"dodge diplomat","1978-01-01",140
20.2,8,"USA",3570,302.0,12.8,"mercury monarch ghia","1978-01-01",139
19.2,6,"USA",3535,231.0,19.2,"pontiac phoenix lj","1978-01-01",105
20.5,6,"USA",3155,200.0,18.2,"chevrolet malibu","1978-01-01",95
20.2,6,"USA",2965,200.0,15.8,"ford fairmont (auto)","1978-01-01",85
25.1,4,"USA",2720,140.0,15.4,"ford fairmont (man)","1978-01-01",88
20.5,6,"USA",3430,225.0,17.2,"plymouth volare","1978-01-01",100
19.4,6,"USA",3210,232.0,17.2,"amc concord","1978-01-01",90
20.6,6,"USA",3380,231.0,15.8,"buick century special","1978-01-01",105
20.8,6,"USA",3070,200.0,16.7,"mercury zephyr","1978-01-01",85
18.6,6,"USA",3620,225.0,18.7,"dodge aspen","1978-01-01",110
18.1,6,"USA",3410,258.0,15.1,"amc concord d/l","1978-01-01",120
19.2,8,"USA",3425,305.0,13.2,"chevrolet monte carlo landau","1978-01-01",145
17.7,6,"USA",3445,231.0,13.4,"buick regal sport coupe (turbo)","1978-01-01",165
18.1,8,"USA",3205,302.0,11.2,"ford futura","1978-01-01",139
17.5,8,"USA",4080,318.0,13.7,"dodge magnum xe","1978-01-01",140
30.0,4,"USA",2155,98.0,16.5,"chevrolet chevette","1978-01-01",68
27.5,4,"Japan",2560,134.0,14.2,"toyota corona","1978-01-01",95
27.2,4,"Japan",2300,119.0,14.7,"datsun 510","1978-01-01",97
30.9,4,"USA",2230,105.0,14.5,"dodge omni","1978-01-01",75
21.1,4,"Japan",2515,134.0,14.8,"toyota celica gt liftback","1978-01-01",95
23.2,4,"USA",2745,156.0,16.7,"plymouth sapporo","1978-01-01",105
23.8,4,"USA",2855,151.0,17.6,"oldsmobile starfire sx","1978-01-01",85
23.9,4,"Japan",2405,119.0,14.9,"datsun 200-sx","1978-01-01",97
20.3,5,"Europe",2830,131.0,15.9,"audi 5000","1978-01-01",103
17.0,6,"Europe",3140,163.0,13.6,"volvo 264gl","1978-01-01",125
21.6,4,"Europe",2795,121.0,15.7,"saab 99gle","1978-01-01",115
16.2,6,"Europe",3410,163.0,15.8,"peugeot 604sl","1978-01-01",133
31.5,4,"Europe",1990,89.0,14.9,"volkswagen scirocco","1978-01-01",71
29.5,4,"Japan",2135,98.0,16.6,"honda Accelerationord lx","1978-01-01",68
21.5,6,"USA",3245,231.0,15.4,"pontiac lemans v6","1979-01-01",115
19.8,6,"USA",2990,200.0,18.2,"mercury zephyr 6","1979-01-01",85
22.3,4,"USA",2890,140.0,17.3,"ford fairmont 4","1979-01-01",88
20.2,6,"USA",3265,232.0,18.2,"amc concord dl 6","1979-01-01",90
20.6,6,"USA",3360,225.0,16.6,"dodge aspen 6","1979-01-01",110
17.0,8,"USA",3840,305.0,15.4,"chevrolet caprice classic","1979-01-01",130
17.6,8,"USA",3725,302.0,13.4,"ford ltd landau","1979-01-01",129
16.5,8,"USA",3955,351.0,13.2,"mercury grand marquis","1979-01-01",138
18.2,8,"USA",3830,318.0,15.2,"dodge st. regis","1979-01-01",135
16.9,8,"USA",4360,350.0,14.9,"buick estate wagon (sw)","1979-01-01",155
15.5,8,"USA",4054,351.0,14.3,"ford country squire (sw)","1979-01-01",142
19.2,8,"USA",3605,267.0,15.0,"chevrolet malibu classic (sw)","1979-01-01",125
18.5,8,"USA",3940,360.0,13.0,"chrysler lebaron town @ country (sw)","1979-01-01",150
31.9,4,"Europe",1925,89.0,14.0,"vw rabbit custom","1979-01-01",71
34.1,4,"Japan",1975,86.0,15.2,"maxda glc deluxe","1979-01-01",65
35.7,4,"USA",1915,98.0,14.4,"dodge colt hatchback custom","1979-01-01",80
27.4,4,"USA",2670,121.0,15.0,"amc spirit dl","1979-01-01",80
25.4,5,"Europe",3530,183.0,20.1,"mercedes benz 300d","1979-01-01",77
23.0,8,"USA",3900,350.0,17.4,"cadillac eldorado","1979-01-01",125
27.2,4,"Europe",3190,141.0,24.8,"peugeot 504","1979-01-01",71
23.9,8,"USA",3420,260.0,22.2,"oldsmobile cutlass salon brougham","1979-01-01",90
34.2,4,"USA",2200,105.0,13.2,"plymouth horizon","1979-01-01",70
34.5,4,"USA",2150,105.0,14.9,"plymouth horizon tc3","1979-01-01",70
31.8,4,"Japan",2020,85.0,19.2,"datsun 210","1979-01-01",65
37.3,4,"Europe",2130,91.0,14.7,"fiat strada custom","1979-01-01",69
28.4,4,"USA",2670,151.0,16.0,"buick skylark limited","1979-01-01",90
28.8,6,"USA",2595,173.0,11.3,"chevrolet citation","1979-01-01",115
26.8,6,"USA",2700,173.0,12.9,"oldsmobile omega brougham","1979-01-01",115
33.5,4,"USA",2556,151.0,13.2,"pontiac phoenix","1979-01-01",90
41.5,4,"Europe",2144,98.0,14.7,"vw rabbit","1980-01-01",76
38.1,4,"Japan",1968,89.0,18.8,"toyota corolla tercel","1980-01-01",60
32.1,4,"USA",2120,98.0,15.5,"chevrolet chevette","1980-01-01",70
37.2,4,"Japan",2019,86.0,16.4,"datsun 310","1980-01-01",65
28.0,4,"USA",2678,151.0,16.5,"chevrolet citation","1980-01-01",90
26.4,4,"USA",2870,140.0,18.1,"ford fairmont","1980-01-01",88
24.3,4,"USA",3003,151.0,20.1,"amc concord","1980-01-01",90
19.1,6,"USA",3381,225.0,18.7,"dodge aspen","1980-01-01",90
34.3,4,"Europe",2188,97.0,15.8,"audi 4000","1980-01-01",78
29.8,4,"Japan",2711,134.0,15.5,"toyota corona liftback","1980-01-01",90
31.3,4,"Japan",2542,120.0,17.5,"mazda 626","1980-01-01",75
37.0,4,"Japan",2434,119.0,15.0,"datsun 510 hatchback","1980-01-01",92
32.2,4,"Japan",2265,108.0,15.2,"toyota corolla","1980-01-01",75
46.6,4,"Japan",2110,86.0,17.9,"mazda glc","1980-01-01",65
27.9,4,"USA",2800,156.0,14.4,"dodge colt","1980-01-01",105
40.8,4,"Japan",2110,85.0,19.2,"datsun 210","1980-01-01",65
44.3,4,"Europe",2085,90.0,21.7,"vw rabbit c (diesel)","1980-01-01",48
43.4,4,"Europe",2335,90.0,23.7,"vw dasher (diesel)","1980-01-01",48
36.4,5,"Europe",2950,121.0,19.9,"audi 5000s (diesel)","1980-01-01",67
30.0,4,"Europe",3250,146.0,21.8,"mercedes-benz 240d","1980-01-01",67
44.6,4,"Japan",1850,91.0,13.8,"honda civic 1500 gl","1980-01-01",67
40.9,4,"Europe",1835,85.0,17.3,"renault lecar deluxe","1980-01-01",NA
33.8,4,"Japan",2145,97.0,18.0,"subaru dl","1980-01-01",67
29.8,4,"Europe",1845,89.0,15.3,"vokswagen rabbit","1980-01-01",62
32.7,6,"Japan",2910,168.0,11.4,"datsun 280-zx","1980-01-01",132
23.7,3,"Japan",2420,70.0,12.5,"mazda rx-7 gs","1980-01-01",100
35.0,4,"Europe",2500,122.0,15.1,"triumph tr7 coupe","1980-01-01",88
23.6,4,"USA",2905,140.0,14.3,"ford mustang cobra","1980-01-01",NA
32.4,4,"Japan",2290,107.0,17.0,"honda Accelerationord","1980-01-01",72
27.2,4,"USA",2490,135.0,15.7,"plymouth reliant","1982-01-01",84
